customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,event_id,batch_date,score,predicted_label,priority_band,case_status,analyst_owner,sla_hours_remaining
0980-FEXWF,Male,0,Yes,Yes,26,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,50.35,1285.8,evt_000030,2026-01-01,0.188253043763453,0,Low,Investigating,A. Khan,13
4678-DVQEO,Female,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2,evt_000031,2026-01-01,0.6470068324433609,1,High,Queued,Unassigned,10
1227-UDMZR,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.15,6637.9,evt_000032,2026-01-01,0.046901618184626674,0,Low,New,A. Khan,29
6171-ZTVYB,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),66.25,2907.35,evt_000033,2026-01-01,0.14629799809332356,0,Low,Resolved,A. Khan,2
6848-YLDFR,Male,0,Yes,Yes,58,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),75.2,4300.8,evt_000034,2026-01-01,0.11458337078341613,0,Low,New,Unassigned,2
6365-HITVU,Female,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),87.25,6328.7,evt_000035,2026-01-01,0.0213854418910354,0,Low,New,M. Ali,25
7926-IJOOU,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.3,19.3,evt_000036,2026-01-01,0.3734595964627287,0,Moderate,Queued,S. Fatima,46
1926-QUZNN,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.25,1841.2,evt_000037,2026-01-01,0.013690560179680917,0,Low,New,M. Ali,26
3967-VQOGC,Female,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.9,1680.25,evt_000038,2026-01-01,0.014523878445089743,0,Low,New,Unassigned,22
1555-HAPSU,Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.9,1663.5,evt_000039,2026-01-01,0.008195144689791756,0,Low,Investigating,M. Ali,32
9643-AVVWI,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.0,241.3,evt_000040,2026-01-01,0.7340312718253942,1,High,New,M. Ali,27
5016-IBERQ,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,evt_000041,2026-01-01,0.7131650658825021,1,High,Investigating,M. Ali,19
2400-FEQME,Male,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,1177.95,evt_000042,2026-01-01,0.013413711766777312,0,Low,Resolved,M. Ali,29
1492-QGCLU,Male,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.7,4616.1,evt_000043,2026-01-01,0.2500435576216742,0,Moderate,Queued,M. Ali,2
8777-PVYGU,Female,0,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,evt_000044,2026-01-01,0.13135123171190582,0,Low,Investigating,A. Khan,13
0654-HMSHN,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,104.4,2157.95,evt_000045,2026-01-01,0.7847934769012014,1,Critical,Investigating,A. Khan,32
8849-GYOKR,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),106.55,5763.3,evt_000046,2026-01-01,0.3054183622854433,0,Moderate,Resolved,S. Fatima,17
9940-RHLFB,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.3,75.3,evt_000047,2026-01-01,0.8021517985942371,1,Critical,New,Unassigned,4
7205-BAIAD,Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,evt_000048,2026-01-01,0.03697882145714386,0,Low,New,A. Khan,7
4983-CCWMC,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4,evt_000049,2026-01-01,0.8124378760977512,1,Critical,Queued,M. Ali,41
1658-TJVOA,Female,1,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.1,450.9,evt_000050,2026-01-01,0.8058494779205312,1,Critical,Queued,Unassigned,17
4377-VDHYI,Male,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,90.8,3023.85,evt_000051,2026-01-01,0.447505920020791,0,Moderate,New,Unassigned,3
0625-AFOHS,Female,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,558.8,evt_000052,2026-01-01,0.036572748206094276,0,Low,Queued,R. Ahmed,35
5339-PXDVH,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,90.65,367.95,evt_000053,2026-01-01,0.8045660998923303,1,Critical,New,M. Ali,26
8409-WQJUX,Female,0,No,No,25,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,54.2,1423.15,evt_000054,2026-01-01,0.42648782707603583,0,Moderate,Resolved,S. Fatima,22
4226-KKDON,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,evt_000055,2026-01-01,0.6174121109400013,1,High,New,M. Ali,43
1929-ZCBHE,Male,0,Yes,Yes,47,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,40.3,1794.8,evt_000056,2026-01-01,0.0916594926802796,0,Low,New,A. Khan,16
5419-KLXBN,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,evt_000057,2026-01-01,0.6381207541748712,1,High,New,S. Fatima,28
4946-EDSEW,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.25,180.3,evt_000058,2026-01-01,0.31809055800100305,0,Moderate,New,R. Ahmed,36
3209-ZPKFI,Male,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.25,2538.2,evt_000059,2026-01-01,0.26941984347124237,0,Moderate,New,M. Ali,29
8397-MVTAZ,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3480.0,evt_000060,2026-01-01,0.8425425455148842,1,Critical,New,R. Ahmed,11
2967-MXRAV,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.8,18.8,evt_000061,2026-01-01,0.2076566447038387,0,Low,New,M. Ali,33
5063-IUOKK,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,265.75,evt_000062,2026-01-01,0.08681900816701812,0,Low,New,M. Ali,36
7762-ONLJY,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,evt_000063,2026-01-01,0.16607827239951298,0,Low,New,Unassigned,7
1587-FKLZB,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.5,6822.15,evt_000064,2026-01-01,0.6140245511864671,1,High,New,Unassigned,9
0769-MURVM,Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.7,4575.35,evt_000065,2026-01-01,0.02407633354427389,0,Low,New,M. Ali,33
6288-CHQJB,Female,0,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,evt_000066,2026-01-01,0.02822052113910086,0,Low,New,R. Ahmed,7
6861-XWTWQ,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,evt_000067,2026-01-01,0.9255476760966074,1,Critical,New,M. Ali,42
6230-BSUXY,Female,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,evt_000068,2026-01-01,0.8983770385718196,1,Critical,New,A. Khan,7
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,evt_000069,2026-01-01,0.720770897391321,1,High,New,Unassigned,46
7919-ZODZZ,Female,0,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,65.9,660.05,evt_000070,2026-01-01,0.3837960271122988,0,Moderate,Investigating,A. Khan,32
3992-YWPKO,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.9,669.45,evt_000071,2026-01-01,0.799802525645324,1,Critical,Resolved,S. Fatima,22
5155-AZQPB,Female,0,Yes,Yes,28,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1410.25,evt_000072,2026-01-01,0.35918792382398396,0,Moderate,Resolved,S. Fatima,14
2187-LZGPL,Female,0,No,No,7,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),40.1,293.3,evt_000073,2026-01-01,0.7285879397077313,1,High,Queued,M. Ali,17
7181-OQCUT,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,103.85,2215.0,evt_000074,2026-01-01,0.7169992774229832,1,High,Queued,A. Khan,36
5360-LJCNJ,Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.15,7555.0,evt_000075,2026-01-01,0.23380046332063364,0,Low,New,M. Ali,36
0707-HOVVN,Female,1,No,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),75.5,5212.65,evt_000076,2026-01-01,0.05269060024750946,0,Low,Investigating,Unassigned,11
6283-GITPX,Male,0,No,Yes,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),76.9,5522.7,evt_000077,2026-01-01,0.020325713576507188,0,Low,Investigating,R. Ahmed,26
5751-USDBL,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81.0,3846.35,evt_000078,2026-01-01,0.05304122519888439,0,Low,Investigating,S. Fatima,47
8671-KKKOS,Female,0,Yes,No,46,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,45.55,2062.15,evt_000079,2026-01-01,0.30139178452957416,0,Moderate,Resolved,A. Khan,13
8646-JCOMS,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.55,6130.95,evt_000080,2026-01-01,0.19577450875266378,0,Low,Queued,R. Ahmed,33
0581-MDMPW,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.95,2072.75,evt_000081,2026-01-01,0.7595065810732696,1,Critical,Investigating,A. Khan,9
9048-JVYVF,Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,69.35,191.35,evt_000082,2026-01-01,0.7534687281834639,1,Critical,Investigating,R. Ahmed,40
6838-HVLXG,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.3,246.7,evt_000083,2026-01-01,0.2757615921067866,0,Moderate,New,Unassigned,9
8059-UDZFY,Female,1,No,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,3465.05,evt_000084,2026-01-01,0.7395543879745491,1,High,Resolved,S. Fatima,15
7599-FKVXZ,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.15,4512.7,evt_000085,2026-01-01,0.6737556043180629,1,High,New,M. Ali,23
6712-OAWRH,Female,1,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8,evt_000086,2026-01-01,0.8506997756971248,1,Critical,Resolved,A. Khan,19
5329-KRDTM,Male,1,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),77.35,5396.25,evt_000087,2026-01-01,0.036642160541071916,0,Low,Investigating,A. Khan,9
3181-MIZBN,Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.75,313.4,evt_000088,2026-01-01,0.2793177484714442,0,Moderate,New,S. Fatima,31
7733-UDMTP,Female,1,No,No,57,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,3094.05,evt_000089,2026-01-01,0.4985110083128051,0,Moderate,Queued,Unassigned,2
0432-CAJZV,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,evt_000090,2026-01-01,0.8283930238705415,1,Critical,New,M. Ali,47
3334-CTHOL,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.95,49.95,evt_000091,2026-01-01,0.6992828219303006,1,High,Investigating,R. Ahmed,4
9334-GWGOW,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,485.25,evt_000092,2026-01-01,0.8869170697150787,1,Critical,Investigating,R. Ahmed,17
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,evt_000093,2026-01-01,0.5626160716155163,1,High,Queued,A. Khan,44
4464-JCOLN,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,35.9,evt_000094,2026-01-01,0.1970821855558767,0,Low,Investigating,A. Khan,9
9576-ANLXO,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,evt_000095,2026-01-01,0.795543713157073,1,Critical,New,M. Ali,5
9661-MHUMO,Male,1,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.25,49.25,evt_000096,2026-01-01,0.5705169846236251,1,High,New,R. Ahmed,36
1494-EJZDW,Female,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15,220.8,evt_000097,2026-01-01,0.07792789791003935,0,Low,New,S. Fatima,5
2533-QVMSK,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,94.1,5638.3,evt_000098,2026-01-01,0.22513076413468097,0,Low,New,Unassigned,43
8718-PTMEZ,Female,0,No,No,13,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,31.05,347.25,evt_000099,2026-01-01,0.6989548301457756,1,High,Queued,Unassigned,22
2019-HDCZY,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,102.6,6296.75,evt_000100,2026-01-01,0.29509350440850896,0,Moderate,New,Unassigned,41
2075-PUEPR,Male,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.35,1153.25,evt_000101,2026-01-01,0.012775491973505086,0,Low,New,Unassigned,13
7602-DBTOU,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,1416.5,evt_000102,2026-01-01,0.00825465311605034,0,Low,Queued,Unassigned,8
0019-EFAEP,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,evt_000103,2026-01-01,0.1173480911737813,0,Low,Investigating,Unassigned,46
2250-IVBWA,Male,0,Yes,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.05,5135.35,evt_000104,2026-01-01,0.24205741288127494,0,Low,New,Unassigned,37
9565-JSNFM,Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),70.45,2597.6,evt_000105,2026-01-01,0.3910899211206267,0,Moderate,Resolved,Unassigned,43
4115-NZRKS,Female,1,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,574.35,evt_000106,2026-01-01,0.9081670612250206,1,Critical,Queued,Unassigned,16
2669-QVCRG,Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.3,3190.65,evt_000107,2026-01-01,0.49495498151953105,0,Moderate,New,Unassigned,20
4937-QPZPO,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.9,6241.35,evt_000108,2026-01-01,0.5222251681704326,1,High,Queued,S. Fatima,28
8450-JOVAH,Male,0,Yes,Yes,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,56.7,113.55,evt_000109,2026-01-01,0.48134799510431503,0,Moderate,New,R. Ahmed,22
8741-LQOBK,Female,0,Yes,Yes,46,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),35.05,1620.25,evt_000110,2026-01-01,0.14932080165973008,0,Low,New,S. Fatima,13
7632-YUTXB,Female,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.05,520.1,evt_000111,2026-01-01,0.08296227302736064,0,Low,Queued,Unassigned,19
5018-LXQQG,Female,0,Yes,Yes,30,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),66.3,1923.5,evt_000112,2026-01-01,0.19587115678065906,0,Low,New,S. Fatima,30
1386-ZIKUV,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.95,130.55,evt_000113,2026-01-01,0.41423395626114135,0,Moderate,New,Unassigned,3
2233-TXSIU,Male,0,Yes,Yes,17,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),44.45,792.15,evt_000114,2026-01-01,0.283847271022159,0,Moderate,Queued,Unassigned,17
3018-TFTSU,Male,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),81.7,858.6,evt_000115,2026-01-01,0.5619661069525114,1,High,New,Unassigned,15
